"","Hazard","T1_V1","T1_V2","T1_V3","T1_V4","T1_V5","T1_V6","T1_V9","T1_V10","T1_V11","T1_V13","T1_V14","T1_V16","T1_V17","T2_V1","T2_V2","T2_V3","T2_V4","T2_V5","T2_V6","T2_V7","T2_V9","T2_V10","T2_V11","T2_V12","T2_V13","T2_V14","T2_V15"
"1",1,15,3,2,"N","B","N","D",7,"B",15,1,"B","N",36,11,"N",10,"B",2,37,11,6,"Y","N","E",2,2
"5",1,13,19,5,"N","H","N","E",7,"H",10,1,"J","N",75,10,"Y",11,"B",1,22,2,7,"N","N","E",1,1
"7",5,8,17,1,"E","K","N","E",8,"H",20,1,"K","N",100,14,"N",16,"A",2,25,20,3,"Y","N","D",2,11
"16",1,9,20,5,"N","C","Y","D",7,"B",10,1,"E","N",33,10,"Y",3,"A",2,31,7,1,"Y","N","E",2,1
"25",5,14,17,5,"N","K","Y","E",3,"H",10,1,"R","Y",92,12,"N",7,"A",2,40,12,2,"Y","Y","E",2,3
"42",4,11,6,4,"N","C","Y","D",2,"L",20,1,"I","N",59,12,"N",6,"A",2,37,12,1,"Y","N","D",4,3
"47",4,12,20,6,"W","I","N","E",12,"H",10,1,"J","N",49,14,"N",12,"A",1,40,6,6,"N","N","A",1,5
"48",4,12,20,1,"N","C","N","D",8,"L",10,1,"I","Y",62,24,"Y",13,"B",6,40,5,3,"Y","Y","E",6,1
"50",1,2,16,3,"S","H","N","E",8,"H",15,3,"R","N",54,15,"N",13,"B",2,22,24,1,"Y","N","E",2,1
"52",8,19,5,2,"B","B","N","D",12,"B",10,1,"B","Y",52,11,"N",5,"A",2,40,2,6,"N","N","A",2,3
"57",11,17,17,3,"B","B","Y","D",12,"B",10,3,"I","N",46,8,"N",13,"A",2,40,11,4,"Y","N","E",2,3
"64",5,8,18,6,"N","C","Y","D",12,"B",20,1,"E","N",40,13,"N",13,"A",2,34,17,7,"Y","N","E",2,1
"72",5,9,17,4,"N","K","Y","E",8,"H",10,1,"R","N",66,14,"N",8,"A",2,40,19,3,"N","N","A",5,2
"78",4,19,18,2,"B","H","Y","E",8,"J",20,1,"N","N",43,19,"N",8,"B",2,25,17,1,"N","N","A",4,1
"84",1,9,15,2,"N","K","Y","E",3,"H",20,1,"K","N",97,14,"N",22,"A",2,34,19,6,"Y","N","E",2,11
"90",7,13,20,4,"N","K","Y","E",7,"H",10,3,"K","N",92,17,"N",15,"A",1,34,13,3,"Y","N","E",1,10
"94",1,19,3,2,"N","C","N","D",8,"B",20,2,"B","N",48,10,"N",5,"B",2,37,5,4,"N","N","A",5,1
"103",8,16,11,7,"N","H","N","E",3,"I",15,1,"R","N",11,6,"Y",3,"B",2,31,17,7,"N","N","A",2,1
"118",8,15,19,3,"N","K","N","E",8,"I",15,1,"N","N",23,12,"Y",5,"A",1,37,1,6,"Y","N","C",1,2
"120",1,18,15,2,"B","H","Y","D",3,"B",10,3,"B","N",26,13,"N",7,"A",2,22,17,2,"Y","N","E",2,2
"126",2,7,9,2,"E","A","N","D",12,"B",15,3,"B","N",49,9,"N",14,"A",2,28,16,3,"Y","N","E",2,5
"130",4,8,12,2,"N","H","N","D",12,"L",15,1,"B","N",69,16,"N",6,"A",2,34,22,6,"Y","N","E",2,1
"131",3,7,16,5,"B","K","Y","E",12,"J",10,2,"R","N",46,11,"N",10,"A",3,40,5,3,"N","N","A",3,5
"133",2,1,11,3,"C","A","N","D",3,"F",20,3,"B","N",41,18,"N",9,"A",3,37,21,1,"Y","N","D",2,3
"134",2,7,5,4,"B","A","Y","D",3,"B",10,1,"E","N",90,7,"N",18,"A",1,31,17,2,"Y","N","E",1,2
"146",18,16,8,6,"N","H","Y","E",7,"H",10,1,"K","N",78,10,"N",9,"E",3,34,1,1,"N","N","B",4,6
"147",6,14,18,2,"N","C","Y","D",12,"L",10,3,"I","Y",90,13,"Y",10,"C",2,31,18,7,"Y","Y","E",2,4
"151",10,15,4,3,"N","H","N","D",8,"B",10,1,"B","N",39,13,"N",9,"A",2,34,17,5,"Y","N","D",5,2
"157",13,13,22,4,"N","C","N","D",2,"L",20,3,"I","N",35,22,"Y",14,"E",2,40,1,3,"Y","N","C",2,1
